subject,filename,attack_type
04318,ffhq-alligned/04318.png,
39486,ffhq-alligned/39486.png,
12902,ffhq-alligned/12902.png,
15348,ffhq-alligned/15348.png,
46061,ffhq-alligned/46061.png,
30700,ffhq-alligned/30700.png,
46907,ffhq-alligned/46907.png,
03202,ffhq-alligned/03202.png,
18727,ffhq-alligned/18727.png,
32336,ffhq-alligned/32336.png,
07924,ffhq-alligned/07924.png,
27110,ffhq-alligned/27110.png,
44130,ffhq-alligned/44130.png,
37039,ffhq-alligned/37039.png,
15989,ffhq-alligned/15989.png,
40220,ffhq-alligned/40220.png,
43045,ffhq-alligned/43045.png,
43882,ffhq-alligned/43882.png,
48423,ffhq-alligned/48423.png,
38338,ffhq-alligned/38338.png,
01537,ffhq-alligned/01537.png,
16015,ffhq-alligned/16015.png,
14065,ffhq-alligned/14065.png,
00558,ffhq-alligned/00558.png,
40176,ffhq-alligned/40176.png,
10483,ffhq-alligned/10483.png,
06511,ffhq-alligned/06511.png,
28281,ffhq-alligned/28281.png,
47689,ffhq-alligned/47689.png,
33398,ffhq-alligned/33398.png,
29185,ffhq-alligned/29185.png,
13438,ffhq-alligned/13438.png,
05119,ffhq-alligned/05119.png,
09250,ffhq-alligned/09250.png,
12394,ffhq-alligned/12394.png,
21757,ffhq-alligned/21757.png,
32535,ffhq-alligned/32535.png,
22180,ffhq-alligned/22180.png,
35419,ffhq-alligned/35419.png,
03147,ffhq-alligned/03147.png,
23134,ffhq-alligned/23134.png,
36696,ffhq-alligned/36696.png,
37519,ffhq-alligned/37519.png,
02694,ffhq-alligned/02694.png,
42403,ffhq-alligned/42403.png,
09678,ffhq-alligned/09678.png,
17402,ffhq-alligned/17402.png,
01783,ffhq-alligned/01783.png,
49162,ffhq-alligned/49162.png,
24530,ffhq-alligned/24530.png,
17687,ffhq-alligned/17687.png,
16317,ffhq-alligned/16317.png,
43624,ffhq-alligned/43624.png,
05056,ffhq-alligned/05056.png,
35188,ffhq-alligned/35188.png,
20223,ffhq-alligned/20223.png,
07703,ffhq-alligned/07703.png,
48871,ffhq-alligned/48871.png,
41997,ffhq-alligned/41997.png,
39324,ffhq-alligned/39324.png,
03956,ffhq-alligned/03956.png,
38377,ffhq-alligned/38377.png,
32549,ffhq-alligned/32549.png,
36268,ffhq-alligned/36268.png,
38731,ffhq-alligned/38731.png,
14116,ffhq-alligned/14116.png,
18455,ffhq-alligned/18455.png,
32199,ffhq-alligned/32199.png,
27472,ffhq-alligned/27472.png,
45875,ffhq-alligned/45875.png,
30087,ffhq-alligned/30087.png,
36233,ffhq-alligned/36233.png,
46592,ffhq-alligned/46592.png,
06013,ffhq-alligned/06013.png,
01271,ffhq-alligned/01271.png,
25635,ffhq-alligned/25635.png,
44366,ffhq-alligned/44366.png,
03638,ffhq-alligned/03638.png,
32792,ffhq-alligned/32792.png,
08025,ffhq-alligned/08025.png,
38796,ffhq-alligned/38796.png,
41425,ffhq-alligned/41425.png,
26905,ffhq-alligned/26905.png,
26315,ffhq-alligned/26315.png,
13096,ffhq-alligned/13096.png,
33455,ffhq-alligned/33455.png,
31862,ffhq-alligned/31862.png,
13945,ffhq-alligned/13945.png,
32477,ffhq-alligned/32477.png,
04372,ffhq-alligned/04372.png,
14485,ffhq-alligned/14485.png,
13277,ffhq-alligned/13277.png,
13151,ffhq-alligned/13151.png,
37734,ffhq-alligned/37734.png,
43856,ffhq-alligned/43856.png,
16955,ffhq-alligned/16955.png,
26021,ffhq-alligned/26021.png,
32323,ffhq-alligned/32323.png,
38446,ffhq-alligned/38446.png,
37196,ffhq-alligned/37196.png,
26424,ffhq-alligned/26424.png,
12606,ffhq-alligned/12606.png,
32646,ffhq-alligned/32646.png,
13936,ffhq-alligned/13936.png,
16155,ffhq-alligned/16155.png,
12209,ffhq-alligned/12209.png,
17564,ffhq-alligned/17564.png,
08196,ffhq-alligned/08196.png,
08943,ffhq-alligned/08943.png,
27992,ffhq-alligned/27992.png,
39154,ffhq-alligned/39154.png,
05204,ffhq-alligned/05204.png,
08842,ffhq-alligned/08842.png,
10492,ffhq-alligned/10492.png,
28353,ffhq-alligned/28353.png,
12052,ffhq-alligned/12052.png,
10134,ffhq-alligned/10134.png,
30897,ffhq-alligned/30897.png,
14535,ffhq-alligned/14535.png,
33435,ffhq-alligned/33435.png,
46809,ffhq-alligned/46809.png,
03035,ffhq-alligned/03035.png,
31727,ffhq-alligned/31727.png,
18340,ffhq-alligned/18340.png,
42193,ffhq-alligned/42193.png,
42095,ffhq-alligned/42095.png,
18848,ffhq-alligned/18848.png,
08973,ffhq-alligned/08973.png,
07022,ffhq-alligned/07022.png,
19244,ffhq-alligned/19244.png,
27140,ffhq-alligned/27140.png,
43242,ffhq-alligned/43242.png,
32214,ffhq-alligned/32214.png,
47651,ffhq-alligned/47651.png,
05821,ffhq-alligned/05821.png,
32707,ffhq-alligned/32707.png,
19908,ffhq-alligned/19908.png,
24227,ffhq-alligned/24227.png,
36486,ffhq-alligned/36486.png,
17145,ffhq-alligned/17145.png,
04945,ffhq-alligned/04945.png,
44522,ffhq-alligned/44522.png,
11509,ffhq-alligned/11509.png,
13894,ffhq-alligned/13894.png,
30585,ffhq-alligned/30585.png,
34900,ffhq-alligned/34900.png,
12274,ffhq-alligned/12274.png,
26032,ffhq-alligned/26032.png,
43953,ffhq-alligned/43953.png,
10420,ffhq-alligned/10420.png,
44987,ffhq-alligned/44987.png,
30908,ffhq-alligned/30908.png,
43955,ffhq-alligned/43955.png,
33757,ffhq-alligned/33757.png,
04059,ffhq-alligned/04059.png,
38544,ffhq-alligned/38544.png,
47419,ffhq-alligned/47419.png,
22645,ffhq-alligned/22645.png,
13338,ffhq-alligned/13338.png,
31086,ffhq-alligned/31086.png,
22913,ffhq-alligned/22913.png,
39834,ffhq-alligned/39834.png,
12037,ffhq-alligned/12037.png,
21482,ffhq-alligned/21482.png,
41415,ffhq-alligned/41415.png,
01571,ffhq-alligned/01571.png,
39552,ffhq-alligned/39552.png,
49496,ffhq-alligned/49496.png,
05084,ffhq-alligned/05084.png,
22822,ffhq-alligned/22822.png,
30370,ffhq-alligned/30370.png,
41256,ffhq-alligned/41256.png,
24692,ffhq-alligned/24692.png,
35368,ffhq-alligned/35368.png,
34414,ffhq-alligned/34414.png,
05395,ffhq-alligned/05395.png,
44783,ffhq-alligned/44783.png,
30071,ffhq-alligned/30071.png,
01071,ffhq-alligned/01071.png,
08108,ffhq-alligned/08108.png,
07724,ffhq-alligned/07724.png,
23238,ffhq-alligned/23238.png,
15253,ffhq-alligned/15253.png,
35421,ffhq-alligned/35421.png,
12032,ffhq-alligned/12032.png,
48902,ffhq-alligned/48902.png,
12232,ffhq-alligned/12232.png,
17995,ffhq-alligned/17995.png,
33811,ffhq-alligned/33811.png,
45033,ffhq-alligned/45033.png,
13521,ffhq-alligned/13521.png,
11797,ffhq-alligned/11797.png,
48189,ffhq-alligned/48189.png,
19946,ffhq-alligned/19946.png,
06102,ffhq-alligned/06102.png,
25662,ffhq-alligned/25662.png,
13589,ffhq-alligned/13589.png,
13344,ffhq-alligned/13344.png,
13871,ffhq-alligned/13871.png,
35817,ffhq-alligned/35817.png,
02313,ffhq-alligned/02313.png,
38972,ffhq-alligned/38972.png,
47549,ffhq-alligned/47549.png,
27781,ffhq-alligned/27781.png,
05107,ffhq-alligned/05107.png,
14405,ffhq-alligned/14405.png,
00452,ffhq-alligned/00452.png,
08324,ffhq-alligned/08324.png,
42693,ffhq-alligned/42693.png,
04458,ffhq-alligned/04458.png,
22570,ffhq-alligned/22570.png,
42387,ffhq-alligned/42387.png,
06521,ffhq-alligned/06521.png,
09420,ffhq-alligned/09420.png,
36986,ffhq-alligned/36986.png,
47589,ffhq-alligned/47589.png,
03995,ffhq-alligned/03995.png,
40805,ffhq-alligned/40805.png,
13461,ffhq-alligned/13461.png,
18724,ffhq-alligned/18724.png,
19929,ffhq-alligned/19929.png,
28380,ffhq-alligned/28380.png,
30917,ffhq-alligned/30917.png,
37707,ffhq-alligned/37707.png,
02675,ffhq-alligned/02675.png,
47486,ffhq-alligned/47486.png,
18714,ffhq-alligned/18714.png,
21962,ffhq-alligned/21962.png,
23915,ffhq-alligned/23915.png,
02063,ffhq-alligned/02063.png,
32736,ffhq-alligned/32736.png,
31652,ffhq-alligned/31652.png,
11269,ffhq-alligned/11269.png,
39569,ffhq-alligned/39569.png,
36211,ffhq-alligned/36211.png,
15058,ffhq-alligned/15058.png,
37993,ffhq-alligned/37993.png,
11550,ffhq-alligned/11550.png,
49543,ffhq-alligned/49543.png,
49066,ffhq-alligned/49066.png,
42969,ffhq-alligned/42969.png,
47326,ffhq-alligned/47326.png,
33680,ffhq-alligned/33680.png,
14036,ffhq-alligned/14036.png,
37853,ffhq-alligned/37853.png,
48419,ffhq-alligned/48419.png,
34528,ffhq-alligned/34528.png,
17350,ffhq-alligned/17350.png,
